timestamp,car_position_x,car_position_y,angle,speed,sensor_distances,traffic_light_state,action_taken,reward,ai_mode
green,0.08231244861257855,0.39513511706124405,-112.82680722813878,0.7499999999999989,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-217.0,hybrid
green,0.08201109634831952,0.39181379095131064,-112.50384509202141,0.6999999999999988,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-216.6,hybrid
green,0.08173271933555018,0.3885448539986197,-112.13650937240104,0.6499999999999988,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-216.2,hybrid
green,0.08147728348143471,0.3853283699234494,-111.73350833271226,0.5999999999999988,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-215.79999999999998,hybrid
green,0.08124460359563286,0.3821645287081183,-111.30199859296788,0.5499999999999987,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-215.39999999999998,hybrid
green,0.08103437500976877,0.37905361536009535,-110.84783227258306,0.4999999999999987,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-215.0,hybrid
green,0.08084619895081882,0.37599598467192835,-116.84783227258303,0.44999999999999873,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-214.6,hybrid
green,0.08064279529374697,0.3730234205041669,-122.84783227258305,0.39999999999999875,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-214.2,hybrid
green,0.0804337105576964,0.37013401321149125,-128.84783227258305,0.34999999999999876,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-213.79999999999998,hybrid
green,0.08022801954310382,0.3673238334818816,-134.84783227258305,0.29999999999999877,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",hybrid,"{""turn_left"": true}",-213.39999999999998,hybrid
